流水號,華語,漢字,台羅,出處,理由
,艾草,醫草,i-tshau2,台文華文線頂辭典,
,醫書,醫冊,i-tsheh,台文華文線頂辭典,
,依次,依次,i-tshu3,台文華文線頂辭典,
,依循依照,依照,i-tsiau3,台文華文線頂辭典,
,衣裳,衣裳,i-tsiunn5,台文華文線頂辭典,
,穿戴,衣裳身穿,i-tsiunn5-sinn-tshing7,台文華文線頂辭典,
,依存,依存,i-tsun5,台文華文線頂辭典,
,依然,依原,i-guan5,台文華文線頂辭典,
,痊癒,醫原全,i-guan5-tsuan5,台文華文線頂辭典,
,醫學,醫學,i-hak8,台文華文線頂辭典,
,醫學系,醫學系,i-hak8-he7,台文華文線頂辭典,
,醫學院,醫學院,i-hak8-inn7,台文華文線頂辭典,
,醫學界,醫學界,i-hak8-kai3,台文華文線頂辭典,
,依法,依法,i-huat,台文華文線頂辭典,
,衣服,衣服,i-hok8,台文華文線頂辭典,
,醫護,醫護,i-hoo7,台文華文線頂辭典,
,依附,依附,i-hu3,台文華文線頂辭典,
,依依,依依,i-i,台文華文線頂辭典,
,醫院,醫院,i-inn7,台文華文線頂辭典,
,醫藥,醫藥,i-ioh8,台文華文線頂辭典,
,醫藥費,醫藥費,i-ioh8-hui3,台文華文線頂辭典,
,依約,依約,i-iok,教育部閩語典,
,依依不捨,依依不捨,i-i-put-sia3,教育部閩語典,
,依然,依然,i-jiann5,教育部閩語典,
,醫界,醫界,i-kai3,教育部閩語典,
,醫科,醫科,i-kho,教育部閩語典,
,快遞,緊送,kin2-sang3,Liz Lin,義譯
,快遞,快遞,khuai3-te7,Liz Lin,直接念漢字
,快遞,隨送,sui5-sang3,Liz Lin,義譯
,漢堡,漢堡,han3-po2,Liz Lin,直接念漢字
,漢堡,美國肉包,bi2-kok-bah-pau,Liz Lin,義譯
,漢堡,麭佮肉,phang3-kah-bah,Liz Lin,音譯義譯
,帳篷,罩篷,ta3-phang5,Liz Lin,義譯
,帳篷,帳篷,tiunn3-phang5,Liz Lin,直接念漢字
