華語,台語漢字,臺羅
錫蘭七指蕨,倒地蜈蚣,T?-t?-gi?-kang
錫蘭七指蕨,地蜈蚣,T?-gi?-kang
錫蘭七指蕨,蜈蚣草,Gi?-kang-tsh?u
錫蘭七指蕨,過路蜈蚣,Ku?-l?o-gi?-kang
瓶爾小草,一枝香,It-ki-hiunn
瓶爾小草,一枝箭,It-ki-ts?nn
瓶爾小草,一枝槍,It-ki-tshiunn
瓶爾小草,一葉草,It-hio?h-tsh?u
瓶爾小草,金劍草,Kim-ki?m-tsh?u
瓶爾小草,獨葉草,To?k-hio?h-tsh?u
觀音座蓮,山羊蹄,Suann-?unn-t?
蘭嶼觀音座蓮,觀音座蓮,Kuan-im-ts?-li?n
台灣原始觀音座蓮,古觀音座蓮,K?o-kuan-im-ts?-li?n
伊藤氏原始觀音座蓮,觀音座蓮,Kuan-im-ts?-li?n
紫萁,薇,B?
海金沙,菟絲草,Th?o-si-tsh?u
海金沙,鼎炊藤,Ti?nn-tshue-t?n
小葉海金沙,海金沙,H?i-kim-sua
芒萁,毛萁,M?o-ki
大羽芒萁,台灣毛萁,T?i-u?n-m?o-ki
蔓芒萁,鐵毛萁,Thih-m?o-ki
蔓芒萁,毛萁,M?o-ki
中華裡白,捲葉芒萁,K?g-hio?h-bang-ki
中華裡白,毛萁,M?o-ki
裡白,裡白,L?-pe?h
裡白,大裡白,Tu?-l?-pe?h
鱗芽裡白,光裡白,Kng-l?-pe?h
水蕨,水羊齒,Tsu?-?unn-kh?
水蕨,水防風,Tsu?-h?ng-hong
水蕨,水芹菜,Tsu?-kh?n-tsh?i
水蕨,水松草,Tsu?-si?ng-tsh?u
金狗毛蕨,狗仔毛,K?u-?-m?o
金狗毛蕨,金狗毛,Kim-k?u-m?o
金狗毛蕨,金毛獅仔,Kim-m?o-sai-?
金狗毛蕨,骨碎補,Kut-tshu?-p?o
台灣金狗毛蕨,金狗毛,Kim-k?u-m?o
台灣金狗毛蕨,狗脊,K?u-tsit
台灣金狗毛蕨,金毛狗脊,Kim-m?o-k?u-tsit
台灣金狗毛蕨,金狗毛蕨,Kim-k?u-m?o-kueh
台灣金狗毛蕨,金狗脊,Kim-k?u-tsik
韓氏桫欏,筆筒樹,Pit-t?ng-tsh?u
韓氏桫欏,山大人,Suann-tu?-l?ng
韓氏桫欏,蛇木,Tsu?-bo?k
蘭嶼筆筒樹,筆筒樹,Pit-t?ng-tsh?u
蘭嶼筆筒樹,山大人,Suann-tu?-l?ng
蘭嶼筆筒樹,蛇木,Tsu?-bo?k
南洋桫欏,筆筒樹,Pit-t?ng-tsh?u
南洋桫欏,山大人,Suann-tu?-l?ng
南洋桫欏,蛇木,Tsu?-bo?k
台灣樹蕨,樹蕨,Tsh?u-kueh
鬼桫欏,筆筒樹,Pit-t?ng-tsh?u
鬼桫欏,山大人,Suann-tu?-l?ng
鬼桫欏,蛇木,Tsu?-bo?k
台灣桫欏,木羊齒,Ba?k-?unn-kh?
台灣桫欏,桫欏,So-l?
台灣桫欏,筆筒樹,Pit-t?ng-tsh?u
筆筒樹,山棕蕨,Suann-tsang-kueh
筆筒樹,蛇木,Tsu?-bo?k
筆筒樹,山大人,Suann-tu?-l?ng
筆筒樹,筆筒樹,Pit-t?ng-tsh?u
倒葉瘤足蕨,台灣山蘇鐵,T?i-u?n-suann-soo-thih
雉尾烏毛蕨,雉尾烏毛蕨,Th?-bu?-oo-m?o-kueh
烏毛蕨,山蕨貓,Suann-kueh-niau
烏毛蕨,赤蕨仔,Tshiah-kueh-?
烏毛蕨,蜈蚣樹,Gi?-kang-tsh?u
烏毛蕨,烏毛蕨,Oo-m?o-kueh
日本狗脊蕨,狗脊,K?u-tsit
日本狗脊蕨,金毛狗脊,Kim-m?o-k?u-tsit
日本狗脊蕨,金狗脊,Kim-k?u-tsik
日本狗脊蕨,貫眾,Ku?n-tsi?ng
東方狗脊蕨,長尾鳥,Tn?g-bu?-tsi?u
東方狗脊蕨,貫眾,Ku?n-tsi?ng
頂芽狗脊蕨,頂芽狗脊蕨,T?ng-g?-k?u-tsit-kueh
頂芽狗脊蕨,生芽狗脊蕨,Sinn-g?-k?u-tsit-kueh
頂芽狗脊蕨,頂芽狗脊,T?ng-g?-k?u-tsit
頂芽狗脊蕨,單芽狗脊,Tuann-g?-k?u-tsit
雙扇蕨,雙扇蕨,Siang-s?nn-kueh
雙扇蕨,鐵雨傘,Thih-h?o-su?nn
肢節蕨,阿里山水龍骨,A-l?-san-tsu?-l?ng-kut
肢節蕨,節肢蕨,Tsat-ki-kue?h
尖嘴蕨,尖喙蕨,Tsiam-tshu?-kueh
橢圓線蕨,大線蕨,Tu?-su?nn-kueh
橢圓線蕨,線蕨,Su?nn-kueh
橢圓線蕨,鐵牛入石,Thih-g?-ji?p-tsio?h
斷線蕨,線蕨,Su?nn-kueh
新店線蕨,線蕨,Su?nn-kueh
萊氏線蕨,線蕨,Su?nn-kueh
萊氏線蕨,萊氏線蕨,L?i-s?-su?nn-kueh
大葉玉山茀蕨,水龍骨,Tsu?-l?ng-kut
恩氏茀蕨,水龍骨,Tsu?-l?ng-kut
三葉茀蕨,七星草,Tshit-tshinn-tsh?u
三葉茀蕨,金星草,Kim-tshinn-tsh?u
三葉茀蕨,金雞跤,Kim-ke-kha
三葉茀蕨,鴨跤扒,Ah-kha-p?
三葉茀蕨,鴨跤香,Ah-kha-hiunn
三葉茀蕨,鴨蹄草,Ah-t?-tsh?u
三葉茀蕨,鵝掌金星草,G?-ts?unn-kim-tshinn-tsh?u
玉山茀蕨,玉山金星蕨,Gio?k-suann-kim-tshinn-kueh
掌葉茀蕨,水龍骨,Tsu?-l?ng-kut
台灣茀蕨,水龍骨,Tsu?-l?ng-kut
小茀蕨,水龍骨,Tsu?-l?ng-kut
二條線蕨,木蓮金,Bo?k-li?n-kim
二條線蕨,木蘭,Bo?k-l?n
槲蕨,毛姜,M?o-khiang
槲蕨,石岩姜,Tsio?h-gi?m-khiang
槲蕨,岩連姜,Gi?m-li?n-khiang
槲蕨,骨碎補,Kut-tshu?-p?o
珊瑚藤,朝日蔓,Tiau-ji?t-b?n
珊瑚藤,紫苞藤,Ts?-b?o-t?n
伏石蕨,瓜子金,Kue-ts?-kim
伏石蕨,抱樹蓮,Ph?-tsh?u-li?n
伏石蕨,風不動,Hong-put-t?ng
骨牌蕨,骨牌蕨,Kut-p?i-kueh
骨牌蕨,骨牌草,Kut-p?i-tsh?u
網眼瓦葦,大霸瓦葦,Tu?-p?-hi?-u?
鱗瓦葦,大瓦葦,Tu?-hi?-u?
鱗瓦葦,金石葦,Kim-tsio?h-u?
鱗瓦葦,長柄瓦葦,Tn?g-p?nn-hi?-u?
瓦葦,七星草,Tshit-tshinn-tsh?u
瓦葦,骨牌草,Kut-p?i-tsh?u
瓦葦,滿天星,Bu?n-thian-sing
瓦葦,劍丹,Ki?m-tan
擬瓦葦,阿里山布袋蕨,A-l?-san-p?o-t?-kueh
擬瓦葦,鳳山布袋蕨,H?ng-suann-p?o-t?-kueh
波氏星蕨,金鉸剪,Kim-ka-tsi?n
波氏星蕨,飛刀劍,Pue-to-ki?m
大星蕨,七星劍,Tshit-tshinn-ki?m
大星蕨,玄雞尾,Hi?n-ke-bu?
大星蕨,大本石葦,Tu?-p?n-tsio?h-u?
大星蕨,石葦,Tsio?h-u?
膜葉星蕨,薄葉金星蕨,Po?h-hio?h-kim-tshinn-kueh
膜葉星蕨,大風草,Tu?-hong-tsh?u
膜葉星蕨,光石葦,Kng-tsio?h-u?
膜葉星蕨,雞跤蓮,Ke-kha-li?n
三叉葉星蕨,星蕨,Tshinn-kue?h
星蕨,星蕨,Tshinn-kue?h
星蕨,大星蕨,Tu?-tshinn-kue?h
阿里山水龍骨,阿里山水龍骨,A-l?-san-tsu?-l?ng-kut
亞德氏水龍骨,水龍骨,Tsu?-l?ng-kut
台灣水龍骨,台灣水龍骨,T?i-u?n-tsu?-l?ng-kut
台灣水龍骨,水龍骨,Tsu?-l?ng-kut
台灣水龍骨,大葉水龍骨,Tu?-hio?h-tsu?-l?ng-kut
大葉水龍骨,水龍骨,Tsu?-l?ng-kut
大葉水龍骨,大葉水龍骨,Tu?-hio?h-tsu?-l?ng-kut
疏毛水龍骨,水龍骨,Tsu?-l?ng-kut
崖薑蕨,岩薑,Gi?m-kiunn
崖薑蕨,骨碎補,Kut-tshu?-p?o
崖薑蕨,假猴薑,K?-k?u-kiunn
抱樹石葦,風不動,Hong-put-t?ng
抱樹石葦,樹龍,Tsh?u-l?ng
抱樹石葦,石葦,Tsio?h-u?
絨毛石葦,絨葉羊齒,Ji?ng-hio?h-?unn-kh?
絨毛石葦,線葉石葦,Su?nn-hio?h-tsio?h-u?
石葦,石劍,Tsio?h-ki?m
石葦,石劍箬,Tsio?h-ki?m-ha?h
石葦,金背茶匙,Kim-pu?-t?-s?
石葦,飛刀劍,Pue-to-ki?m
多形石葦,石葦,Tsio?h-u?
多形石葦,松田氏石葦,Si?ng-ti?n-s?-tsio?h-u?
多形石葦,倒披針形葉石葦,T?-phi-tsiam-h?ng-hio?h-tsio?h-u?
槭葉石葦,石葦,Tsio?h-u?
廬山石葦,大石葦,Tu?-tsio?h-u?
廬山石葦,廬山石葦,L?o-san-tsio?h-u?
廬山石葦,金星草,Kim-tshinn-tsh?u
捲葉蕨,石豇豆,Tsio?h-kang-t?u
捲葉蕨,鱗葉陰石蕨,L?n-hio?h-im-tsio?h-kueh
姬荷包蕨,細葉水石葦,S?-hio?h-tsu?-tsio?h-u?
梳葉蕨,小水龍骨,Si?-tsu?-l?ng-kut
台灣車前蕨,車前蕨,Ki-tsi?n-kueh
車前蕨,長柄車前蕨,Tn?g-p?nn-ki-tsi?n-kueh
無柄車前蕨,馬來車前蕨,M?-l?i-ki-tsi?n-kueh
蘭嶼車前蕨,車前蕨,Ki-tsi?n-kueh
書帶蕨,木蓮金,Bo?k-li?n-kim
栗蕨,北投羊齒,Pak-t?u-?unn-kh?
邊緣鱗蓋蕨,山麓蕨,Suann-lo?k-kueh
邊緣鱗蓋蕨,細鱗蕨,S?-l?n-kueh
台北鱗蓋蕨,鱗蕨,L?n-kueh
團羽鱗蓋蕨,細鱗蕨,S?-l?n-kueh
闊葉鱗蓋蕨,鱗蕨,L?n-kueh
熱帶鱗蓋蕨,鱗蕨,L?n-kueh
粗毛鱗蕨,細鱗蕨,S?-l?n-kueh
粗毛鱗蕨,粗鱗蕨,Tshoo-l?n-kueh
嫩鱗蓋蕨,烏骨芒,Oo-kut-b?ng
嫩鱗蓋蕨,鐵線草,Thih-su?nn-tsh?u
嫩鱗蓋蕨,雙刀蕨,Siang-to-kueh
蕨,山鳳尾,Suann-h?ng-bu?
蕨,如意草,J?-?-tsh?u
蕨,狼萁,L?ng-ki
蕨,蕨兒菜,Kueh-j?-tsh?i
蕨,蕨菜,Kueh-tsh?i
圓葉陵齒蕨,金錢草,Kim-ts?nn-tsh?u
圓葉陵齒蕨,魚鱗蕨,H?-l?n-kueh
圓葉陵齒蕨,烏骨芒,Oo-kut-b?ng
圓葉陵齒蕨,雙刀蕨,Siang-to-kueh
圓葉陵齒蕨,鐵線草,Thih-su?nn-tsh?u
海島陵齒蕨,魚鱗蕨,H?-l?n-kueh
方柄陵齒蕨,假陵齒蕨,K?-l?ng-kh?-kueh
方柄陵齒蕨,魚鱗蕨,H?-l?n-kueh
烏蕨,土川連,Th?o-tshuan-n?
烏蕨,水雞爪,Tsu?-ke-ji?u
烏蕨,石衣,Tsio?h-i
烏蕨,石花,Tsio?h-hue
烏蕨,石苔,Tsio?h-th?
大葉骨碎補,馬尾絲,B?-bu?-si
大葉骨碎補,鳳尾草,H?ng-bu?-tsh?u
杯狀蓋骨碎補,骨碎補,Kut-tshu?-p?o
海洲骨碎補,台灣骨碎補,T?i-u?n-kut-tshu?-p?o
海洲骨碎補,骨碎補,Kut-tshu?-p?o
闊葉骨碎補,樹藤仔,Tsh?u-t?n-?
闊葉骨碎補,骨碎補,Kut-tshu?-p?o
鱗葉陰石蕨,骨碎補,Kut-tshu?-p?o
鱗葉陰石蕨,碎補,Tshu?-p?o
鱗葉陰石蕨,龍眼?,L?ng-g?ng-h?ng
鱗葉陰石蕨,龍眼薑,L?ng-g?ng-kiunn
大膜蓋蕨,阿里山黃連蕨,A-l?-san-n?g-n?-kueh
長柄粉背蕨,小粉背蕨,Si?-h?n-pu?-kueh
長柄粉背蕨,銀粉背蕨,G?n-h?n-pu?-kueh
深山粉背蕨,粉背蕨,H?n-pu?-kueh
毛碎米蕨,碎米蕨,Tshu?-b?-kueh
細葉碎米蕨,金蕨,Kim-kueh
細葉碎米蕨,碎米蕨,Tshu?-b?-kueh
黑心蕨,鱗毛蕨,L?n-m?o-kue?h
黑心蕨,烏心蕨,Oo-sim-kueh
亨氏擬旱蕨,旱蕨,H?n-kueh
亨氏擬旱蕨,粉蕨,H?n-kueh
高山金粉蕨,粉蕨,H?n-kueh
日本金粉蕨,馬尾絲,B?-bu?-si
日本金粉蕨,鳳尾連,H?ng-bu?-n?
日本金粉蕨,土黃連,Th?o-n?g-n?
日本金粉蕨,孔雀尾,Kh?ng-tshiok-bu?
長柄鳳尾蕨,鳳尾蕨,H?ng-bu?-kueh
弧脈鳳尾蕨,鳳尾蕨,H?ng-bu?-kueh
二形鳳尾蕨,鳳尾蕨,H?ng-bu?-kueh
大葉鳳尾蕨,野雞尾,I?-ke-bu?
大葉鳳尾蕨,還陽草,Hu?n-i?ng-tsh?u
闊葉鳳尾蕨,鳳尾蕨,H?ng-bu?-kueh
掌鳳尾蕨,鳳尾蕨,H?ng-bu?-kueh
岩鳳尾蕨,鳳尾蕨,H?ng-bu?-kueh
天草鳳尾蕨,刺齒鳳尾蕨,Tsh?-kh?-h?ng-bu?-kueh
天草鳳尾蕨,高砂甘草蕨,Ko-sa-kam-tsh?-kueh
天草鳳尾蕨,鳳尾蕨,H?ng-bu?-kueh
天草鳳尾蕨,甘草蕨,Kam-tsh?-kueh
箭葉鳳尾蕨,大鳳尾,Tu?-h?ng-bu?
箭葉鳳尾蕨,鳳尾草,H?ng-bu?-tsh?u
箭葉鳳尾蕨,鳳尾連,H?ng-bu?-n?
箭葉鳳尾蕨,鳳尾芼,H?ng-bu?-m?o
溪鳳尾蕨,甘草蕨,Kam-tsh?-kueh
溪鳳尾蕨,溪邊鳳尾蕨,Khe-pinn-h?ng-bu?-kueh
溪鳳尾蕨,溪鳳尾蕨,Khe-h?ng-bu?-kueh
傅氏鳳尾蕨,粗蕨草,Tshoo-kueh-tsh?u
台灣鳳尾蕨,台灣甘草蕨,T?i-u?n-kam-tsh?-kueh
翅柄鳳尾蕨,鳳尾蕨,H?ng-bu?-kueh
城戶氏鳳尾蕨,城戶氏鳳尾蕨,Si?nn-h?o-s?-h?ng-bu?-kueh
三角脈鳳尾蕨,鳳尾蕨,H?ng-bu?-kueh
蓬萊鳳尾蕨,鳳尾蕨,H?ng-bu?-kueh
長葉鳳尾蕨,鳳尾蕨,H?ng-bu?-kueh
鳳尾蕨,井欄草,Ts?nn-nu?-tsh?u
鳳尾蕨,井邊草,Ts?nn-pinn-tsh?u
鳳尾蕨,烏跤雞,Oo-kha-ke
鳳尾蕨,鳳尾草,H?ng-bu?-tsh?u
鳳尾蕨,仙人掌草,Sian-j?n-tsi?ng-tsh?u
半邊羽裂鳳尾蕨,大甘草蕨,Tu?-kam-tsh?-kueh
半邊羽裂鳳尾蕨,半爿旗,Pu?nn-p?ng-k?
半邊羽裂鳳尾蕨,甘草鳳尾蕨,Kam-tsh?-h?ng-bu?-kueh
鱗蓋鳳尾蕨,蜈蚣草,Gi?-kang-tsh?u
鐵線蕨,岩浮薸,Gi?m-ph?-phi?
鐵線蕨,烏跤芒,Oo-kha-b?ng
鐵線蕨,豬毛七,Ti-moo-tshit
鐵線蕨,鐵絲草,Thih-si-tsh?u
鐵線蕨,鐵線草,Thih-su?nn-tsh?u
鞭葉鐵線蕨,過山龍,Ku?-suann-l?ng
鞭葉鐵線蕨,鐵線蕨,Thih-su?nn-kueh
長尾鐵線蕨,鐵線蕨,Thih-su?nn-kueh
愛氏鐵線蕨,鐵線蕨,Thih-su?nn-kueh
扇葉鐵線蕨,金頭蜈蚣,Kim-th?u-gi?-kang
扇葉鐵線蕨,烏跤枹,Oo-kha-pau
扇葉鐵線蕨,烏骨毛萁,Oo-kut-m?o-ki
扇葉鐵線蕨,過壇龍,Ku?-tu?nn-li?ng
毛葉鐵線蕨,毛葉鐵線蕨,M?o-hio?h-thih-su?nn-kueh
毛葉鐵線蕨,鐵線蕨,Thih-su?nn-kueh
石長生,生藥,Tshinn-io?h
石長生,箱根草,Siunn-kin-tsh?u
灰背鐵線蕨,鐵線蕨,Thih-su?nn-kueh
半月形鐵線蕨,龍蘭草,Li?ng-l?n-tsh?u
半月形鐵線蕨,龍鱗草,L?ng-l?n-tsh?u
全緣鳳了蕨,鳳了蕨,H?ng-li?u-kueh
華鳳了蕨,普通鳳了蕨,Ph?o-thong-h?ng-li?u-kueh
華鳳了蕨,鳳了蕨,H?ng-li?u-kueh
日本鳳了蕨,鳳了蕨,H?ng-li?u-kueh
高山鳳了蕨,鳳了蕨,H?ng-li?u-kueh
澤瀉蕨,心葉蕨,Sim-hio?h-kueh
藤蕨,藤蕨,T?n-kueh
腎蕨,山豬仔??核,Suann-ti-?-l?n-hu?t-suann
腎蕨,山豬腰子,Ti-io-ts?-i?
腎蕨,夜明吐珠,B?ng-th?o-tsu-?nn
腎蕨,圓羊齒,?unn-kh?
頂囊肋毛蕨,穗花蕨,Su?-hue-kueh
觀音三叉蕨,陰地三叉蕨,Im-t?-sann-tshe-kueh
觀音三叉蕨,觀音三叉蕨,Kuan-im-sann-tshe-kueh
翅柄三叉蕨,下延三叉蕨,?-i?n-sann-tshe-kueh
薄葉三叉蕨,落葉三叉蕨,Lo?h-hio?h-sann-tshe-kueh
花蓮三叉蕨,三叉蕨,Sann-tshe-kueh
蛇脈三叉蕨,蛇脈三叉蕨,Tsu?-me?h-sann-tshe-kueh
蛇脈三叉蕨,三叉蕨,Sann-tshe-kueh
三叉蕨,三叉蕨,Sann-tshe-kueh
三叉蕨,雞爪蕨,Ke-ji?u-kueh
三叉蕨,大葉蜈蚣,Tu?-hio?h-gi?-kang
南投三叉蕨,三叉蕨,Sann-tshe-kueh
南投三叉蕨,南投三叉蕨,L?m-t?u-sann-tshe-kueh
變葉三叉蕨,變葉三叉蕨,P?nn-hio?h-sann-tshe-kueh
變葉三叉蕨,三葉蕨,Sann-hio?h-kueh
雲南三叉蕨,變葉三叉蕨,P?nn-hio?h-sann-tshe-kueh
雲南三叉蕨,三葉蕨,Sann-hio?h-kueh
細齒貫眾蕨,尖耳貫眾,Tsiam-h?nn-ku?n-tsi?ng
細齒貫眾蕨,高山瓦蕨,Ko-suann-hi?-kueh
全緣貫眾蕨,大貫眾,Tu?-ku?n-tsi?ng
狹葉貫眾蕨,虎克氏貫眾,H?o-khik-s?-ku?n-tsi?ng
狹葉貫眾蕨,狹葉貫眾蕨,E?h-hio?h-ku?n-tsi?ng-kueh
尖葉貫眾蕨,大葉貫眾,Tu?-hio?h-ku?n-tsi?ng
台灣貫眾蕨,台灣貫眾,T?i-u?n-ku?n-tsi?ng
台灣鱗毛蕨,台灣鱗毛蕨,T?i-u?n-l?n-m?o-kue?h
小苞鱗毛蕨,小苞鱗毛蕨,Si?-b?o-l?n-m?o-kue?h
厚葉鱗毛蕨,鱗片柄鱗毛蕨,L?n-ph?nn-p?nn-l?n-m?o-kue?h
台東鱗毛蕨,台東鱗毛蕨,T?i-tang-l?n-m?o-kue?h
長葉鱗毛蕨,烏苞金星草,Oo-b?o-kim-tshinn-tsh?u
早田氏鱗毛蕨,野球蕨,I?-k?u-kueh
瓦氏鱗毛蕨,熊毛蕨,H?m-m?o-kueh
瓦氏鱗毛蕨,瓦氏鱗毛蕨,Hi?-s?-l?n-m?o-kue?h
對生耳蕨,旱地草,H?n-t?-tsh?u
杜氏耳蕨,蓬萊耳蕨,H?ng-l?i-h?nn-kueh
阿里山耳蕨,阿里山豬毛蕨,A-l?-san-ti-moo-kueh
鐮葉耳蕨,台灣豬毛蕨,T?i-u?n-ti-moo-kueh
尖葉耳蕨,高砂豬毛蕨,Ko-sa-ti-moo-kueh
黑鱗耳蕨,烏鱗耳蕨,Oo-l?n-h?nn-kueh
芽胞耳蕨,玉山小蕨,Gio?k-suann-si?-kueh
小毛蕨,金星草,Kim-tshinn-tsh?u
頂芽新月蕨,琉球新月蕨,L?u-k?u-sin-gue?h-kueh
大羽新月蕨,尾狀葉新月蕨,Bu?-ts?ng-hio?h-sin-gue?h-kueh
單葉新月蕨,新月蕨,Sin-gue?h-kueh
三葉新月蕨,新月蕨,Sin-gue?h-kueh
假毛蕨,斜葉金星蕨,Tshi?-hio?h-kim-tshinn-kueh
假毛蕨,假毛蕨,K?-m?o-kueh
毛囊紫柄蕨,玉山蕨,Gio?k-suann-kueh
光囊紫柄蕨,耳葉假金星蕨,H?nn-hio?h-k?-kim-tshinn-kue?h
蘭嶼圓腺蕨,蘭嶼大葉毛蕨,L?n-s?-tu?-hio?h-m?o-kueh
台灣圓腺蕨,台灣毛蕨,T?i-u?n-m?o-kueh
台灣圓腺蕨,台灣鱗毛蕨,T?i-u?n-l?n-m?o-kue?h
過溝菜蕨,過衰貓,Ku?-sue-niau
過溝菜蕨,蕨山貓,Kueh-suann-niau
過溝菜蕨,蕨貓,Kueh-niau
過溝菜蕨,過溝菜蕨,Ku?-kau-tsh?i-kueh
合歡山蹄蓋蕨,合歡雉尾草,Ha?p-huan-th?-bu?-tsh?u
貞蕨,角蕨,Kak-kueh
貞蕨,溼地蕨,Sip-t?-kueh
大葉貞蕨,溪生角蕨,Khe-sinn-kak-kueh
冷蕨,冷蕨,L?ng-kueh
毛冷蕨,毛冷蕨,M?o-l?ng-kueh
廣葉鋸齒雙蓋蕨,烏來蕨,U-lai-kueh
細柄雙蓋蕨,�Z樹雙蓋蕨,Peh-tsh?u-siang-ku?-kueh
霧社雙蓋蕨,大葉雙蓋蕨,Tu?-hio?h-siang-ku?-kueh
深山雙蓋蕨,大葉雙蓋蕨,Tu?-hio?h-siang-ku?-kueh
深山雙蓋蕨,大葉雙囊蕨,Tu?-hio?h-siang-l?ng-kueh
單葉雙蓋蕨,篦羊齒,P?n-?unn-kh?
岩蕨,耳羽岩蕨,H?nn-?-gi?m-kueh
岩蕨,岩傳朵,Gi?m-thu?n-t?
岩蕨,岩蕨,Gi?m-kueh
革葉鐵角蕨,鐵角蕨,Thih-kak-kueh
深山鐵角蕨,鐵角蕨,Thih-kak-kueh
三翅鐵角蕨,鐵角蕨,Thih-kak-kueh
山蘇花,龍眼雞,L?ng-g?ng-ke
山蘇花,鴟鴞翼,B?-hio?h-si?t
山蘇花,歪頭菜,Uai-th?u-tsh?i
山蘇花,雞母岫,Ke-b?-s?u
山蘇花,醬草,Ts?unn-tsh?u
縮羽鐵角蕨,地柏葉,T?-peh-hio?h
縮羽鐵角蕨,虎尾蕨,H?o-bu?-kueh
台灣山蘇花,龍眼雞,L?ng-g?ng-ke
台灣山蘇花,鴟鴞翼,B?-hio?h-si?t
台灣山蘇花,歪頭菜,Uai-th?u-tsh?i
台灣山蘇花,雞母岫,Ke-b?-s?u
台灣山蘇花,醬草,Ts?unn-tsh?u
斜葉鐵角蕨,鐵角蕨,Thih-kak-kueh
長生鐵角蕨,鐵角蕨,Thih-kak-kueh
細葉鐵角蕨,鐵角蕨,Thih-kak-kueh
尖葉鐵角蕨,李棟山鐵角蕨,L?-t?ng-suann-thih-kak-kueh
銀杏鐵角蕨,鐵角蕨,Thih-kak-kueh
線葉鐵角蕨,鐵角蕨,Thih-kak-kueh
